127.0.0.1 - - [03/Jun/2016:20:29:21 +0800] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [03/Jun/2016:20:29:29 +0800] "GET /hello/index.jsp HTTP/1.1" 200 5939
127.0.0.1 - - [03/Jun/2016:20:29:33 +0800] "GET /hello/List.action HTTP/1.1" 200 3945
127.0.0.1 - - [03/Jun/2016:20:29:33 +0800] "GET /hello/resources/css/all.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Jun/2016:20:29:33 +0800] "GET /hello/resources/images/icon.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Jun/2016:20:29:33 +0800] "GET /hello/resources/images/btn03.gif HTTP/1.1" 304 -
127.0.0.1 - - [03/Jun/2016:20:29:33 +0800] "GET /hello/resources/images/btn06.gif HTTP/1.1" 304 -
127.0.0.1 - - [03/Jun/2016:20:29:33 +0800] "GET /hello/resources/images/page.gif HTTP/1.1" 304 -
127.0.0.1 - - [03/Jun/2016:20:29:33 +0800] "GET /hello/resources/images/page_be.gif HTTP/1.1" 304 -
127.0.0.1 - - [03/Jun/2016:20:31:29 +0800] "GET /hello/List.action HTTP/1.1" 200 3945
127.0.0.1 - - [03/Jun/2016:20:31:29 +0800] "GET /hello/resources/css/all.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Jun/2016:20:31:31 +0800] "GET /hello/List.action HTTP/1.1" 200 3945
127.0.0.1 - - [03/Jun/2016:20:31:31 +0800] "GET /hello/resources/css/all.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Jun/2016:20:31:32 +0800] "GET /hello/List.action HTTP/1.1" 200 3945
127.0.0.1 - - [03/Jun/2016:20:31:32 +0800] "GET /hello/resources/css/all.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Jun/2016:20:31:32 +0800] "GET /hello/List.action HTTP/1.1" 200 3945
127.0.0.1 - - [03/Jun/2016:20:31:32 +0800] "GET /hello/resources/css/all.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Jun/2016:20:33:07 +0800] "GET /hello/List.action HTTP/1.1" 200 3945
127.0.0.1 - - [03/Jun/2016:20:33:07 +0800] "GET /hello/resources/css/all.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Jun/2016:20:33:08 +0800] "GET /hello/List.action HTTP/1.1" 200 3945
127.0.0.1 - - [03/Jun/2016:20:33:08 +0800] "GET /hello/resources/css/all.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Jun/2016:20:33:09 +0800] "GET /hello/List.action HTTP/1.1" 200 3945
127.0.0.1 - - [03/Jun/2016:20:33:09 +0800] "GET /hello/resources/css/all.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Jun/2016:20:33:10 +0800] "GET /hello/List.action HTTP/1.1" 200 3945
127.0.0.1 - - [03/Jun/2016:20:33:10 +0800] "GET /hello/List.action HTTP/1.1" 200 3945
127.0.0.1 - - [03/Jun/2016:20:33:10 +0800] "GET /hello/List.action HTTP/1.1" 200 3945
127.0.0.1 - - [03/Jun/2016:20:33:11 +0800] "GET /hello/List.action HTTP/1.1" 200 3945
127.0.0.1 - - [03/Jun/2016:20:33:11 +0800] "GET /hello/List.action HTTP/1.1" 200 3945
127.0.0.1 - - [03/Jun/2016:20:33:11 +0800] "GET /hello/List.action HTTP/1.1" 200 3945
127.0.0.1 - - [03/Jun/2016:20:33:11 +0800] "GET /hello/List.action HTTP/1.1" 200 3945
127.0.0.1 - - [03/Jun/2016:20:33:11 +0800] "GET /hello/List.action HTTP/1.1" 200 3945
127.0.0.1 - - [03/Jun/2016:20:33:11 +0800] "GET /hello/List.action HTTP/1.1" 200 3945
127.0.0.1 - - [03/Jun/2016:20:33:12 +0800] "GET /hello/List.action HTTP/1.1" 200 3945
127.0.0.1 - - [03/Jun/2016:20:33:12 +0800] "GET /hello/resources/css/all.css HTTP/1.1" 200 17879
127.0.0.1 - - [03/Jun/2016:20:33:13 +0800] "GET /hello/resources/images/btn02.gif HTTP/1.1" 304 -
127.0.0.1 - - [03/Jun/2016:20:33:24 +0800] "GET /hello/List.action HTTP/1.1" 200 3945
127.0.0.1 - - [03/Jun/2016:20:33:24 +0800] "GET /hello/resources/css/all.css HTTP/1.1" 304 -
